id,discipline,department,speciality_id
6685,Неразрушающий контроль деталей машин,МК9,27.03.02_41
6686,Правоведение,ИУК8,27.03.02_41
6687,Проектирование объектов и процессов на основе цифровых двойников,МК9,27.03.02_41
6688,Экономика,МК8,27.03.02_41
6689,Эксплуатация технических систем,МК9,27.03.02_41
6690,Бережливое производство,МК9,27.03.02_41
6691,Статистический анализ показателей качества технических систем,МК9,27.03.02_41
6692,Теория надежности,МК9,27.03.02_41
6693,Цифровые технологии в моделировании динамических процессов транспортно-технологических систем,МК9,27.03.02_41
6694,ДВ №1 (основная) : Документационное обеспечение систем качества,МК9,27.03.02_41
6695,ДВ №1: Патентоведение,МК9,27.03.02_41
6696,"ДВ №2 (основная) : Методы и средства измерений, испытаний и контроля качества продукции",МК9,27.03.02_41
6697,ДВ №2: Организация измерений и технология испытаний продукции,МК9,27.03.02_41
6698,Ознакомительная практика,МК9,27.03.02_41
6699,Организационно-управленческая практика,МК9,27.03.02_41
6700,Технологическая практика,МК5,27.03.02_41
6701,Эксплуатационная практика,МК9,27.03.02_41
6702,Научно-исследовательская работа,МК9,27.03.02_41
6703,Проектная практика,МК9,27.03.02_41
6704,Преддипломная практика,МК9,27.03.02_41
6705,"Выполнение и защита выпускной квалификационной работы (ВКР), включая подготовку к процедуре защиты и процедуру защиты",МК9,27.03.02_41
6706,Аналитическая геометрия,ФН1,11.03.04_01
6707,Инженерная и компьютерная графика,РК1,11.03.04_01
6708,Иностранный язык,Л3,11.03.04_01
6709,Информатика,ИУ7,11.03.04_01
6710,История России,СГН1,11.03.04_01
6711,Математический анализ,ФН1,11.03.04_01
6712,Начертательная геометрия,РК1,11.03.04_01
6713,Физическая культура и спорт,ФВ,11.03.04_01
6714,Химия,ФН5,11.03.04_01
6715,Интегралы и дифференциальные уравнения,ФН1,11.03.04_01
6716,Линейная алгебра и функции нескольких переменных,ФН1,11.03.04_01
6717,Теоретическая механика,ФН3,11.03.04_01
6718,Физика,ФН4,11.03.04_01
6719,Культурология,СГН2,11.03.04_01
6720,Русский язык и культура речи,Л1,11.03.04_01
6721,Политология,СГН3,11.03.04_01
6722,Сопротивление материалов,РК5,11.03.04_01
6723,Дополнительные главы математики,ФН1,11.03.04_01
6724,Основы автоматизированного проектирования,МТ11,11.03.04_01
6725,Материаловедение,МТ8,11.03.04_01
6726,Теория механизмов и машин,РК2,11.03.04_01
6727,Технология конструкционных материалов,МТ13,11.03.04_01
6728,Физико-химические основы электронных технологий,МТ11,11.03.04_01
6729,"Метрология, стандартизация и взаимозаменяемость",МТ4,11.03.04_01
6730,Физические основы электронных приборов,МТ11,11.03.04_01
6731,Детали машин,РК3,11.03.04_01
6732,Механика жидкости и газа,Э10,11.03.04_01
6733,Процессы и оборудование микротехнологии,МТ11,11.03.04_01
6734,Физика вакуума,МТ11,11.03.04_01
6735,Правоведение,ЮР,11.03.04_01
6736,Вакуумные системы технологического оборудования,МТ11,11.03.04_01
6737,Термовакуумные процессы и оборудование,МТ11,11.03.04_01
6738,Философия,СГН4,11.03.04_01
6739,Экология,Э9,11.03.04_01
6740,Электротехника и электроника,ФН7,11.03.04_01
6741,Детали машин. Курсовой проект,РК3,11.03.04_01
6742,Техника эксперимента в электронике и наноэлектронике,МТ11,11.03.04_01
6743,Безопасность жизнедеятельности,Э9,11.03.04_01
6744,Проектирование технологического оборудования,МТ11,11.03.04_01
6745,Системы автоматического управления,МТ11,11.03.04_01
6746,Экономика часть 1,ИБМ3,11.03.04_01
6747,Технология электронного машиностроения,МТ3,11.03.04_01
6748,Технологические комплексы электроники,МТ11,11.03.04_01
6749,Экономика часть 2,ИБМ6,11.03.04_01
6750,Информационное обеспечение разработок,МТ11,11.03.04_01
6751,Термодинамика наносистем,Э6,11.03.04_01
6752,Прикладная электроника,МТ11,11.03.04_01
6753,Основы наноэлектроники и нанотехнологий,МТ11,11.03.04_01
6754,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,11.03.04_01
6755,ДВ №2 (основная) : Прецизионные механизмы микро и наноперемещений,МТ11,11.03.04_01
6756,ДВ №2: Вакуумные манипуляторы,МТ11,11.03.04_01
6757,ДВ №3 (основная) : Анализ и синтез технических решений,МТ11,11.03.04_01
6758,ДВ №3: Конструкторско-технологический практикум,МТ11,11.03.04_01
6759,Ознакомительная практика,МТ11,11.03.04_01
6760,Проектно-технологическая практика,МТ13,11.03.04_01
6761,Учебно-технологический практикум,МТ13,11.03.04_01
6762,Научно-исследовательская работа,МТ11,11.03.04_01
6763,Преддипломная практика,МТ11,11.03.04_01
6764,Подготовка и защита ВКР,МТ11,11.03.04_01
6765,Аналитическая геометрия,ФН1,11.03.04_71
6766,Инженерная и компьютерная графика,РК1,11.03.04_71
6767,Информатика,ИУ7,11.03.04_71
6768,История России,СГН1,11.03.04_71
6769,Математический анализ,ФН1,11.03.04_71
6770,Начертательная геометрия,РК1,11.03.04_71
6771,Физическая культура и спорт,ФВ,11.03.04_71
6772,Химия,ФН5,11.03.04_71
6773,Русский язык как иностранный,Л1,11.03.04_71
6774,Интегралы и дифференциальные уравнения,ФН1,11.03.04_71
6775,Линейная алгебра и функции нескольких переменных,ФН1,11.03.04_71
6776,Теоретическая механика,ФН3,11.03.04_71
6777,Физика,ФН4,11.03.04_71
6778,Культурология,СГН2,11.03.04_71
6779,Русский язык и культура речи,Л1,11.03.04_71
6780,Сопротивление материалов,РК5,11.03.04_71
6781,Дополнительные главы математики,ФН1,11.03.04_71
6782,Основы автоматизированного проектирования,МТ11,11.03.04_71
6783,Материаловедение,МТ8,11.03.04_71
6784,Теория механизмов и машин,РК2,11.03.04_71
6785,Технология конструкционных материалов,МТ13,11.03.04_71
6786,Физико-химические основы электронных технологий,МТ11,11.03.04_71
6787,"Метрология, стандартизация и взаимозаменяемость",МТ4,11.03.04_71
6788,Физические основы электронных приборов,МТ11,11.03.04_71
6789,Детали машин,РК3,11.03.04_71
6790,Механика жидкости и газа,Э10,11.03.04_71
6791,Процессы и оборудование микротехнологии,МТ11,11.03.04_71
6792,Физика вакуума,МТ11,11.03.04_71
6793,Вакуумные системы технологического оборудования,МТ11,11.03.04_71
6794,Термовакуумные процессы и оборудование,МТ11,11.03.04_71
6795,Философия,СГН4,11.03.04_71
6796,Экология,Э9,11.03.04_71
6797,Электротехника и электроника,ФН7,11.03.04_71
6798,Детали машин. Курсовой проект,РК3,11.03.04_71
6799,Техника эксперимента в электронике и наноэлектронике,МТ11,11.03.04_71
6800,Безопасность жизнедеятельности,Э9,11.03.04_71
7166,Экономика часть 1,ИБМ3,27.03.01_61
6801,Проектирование технологического оборудования,МТ11,11.03.04_71
6802,Системы автоматического управления,МТ11,11.03.04_71
6803,Экономика часть 1,ИБМ3,11.03.04_71
6804,Иностранный язык,Л3,11.03.04_71
6805,Правоведение,ЮР,11.03.04_71
6806,Технология электронного машиностроения,МТ3,11.03.04_71
6807,Технологические комплексы электроники,МТ11,11.03.04_71
6808,Экономика часть 2,ИБМ6,11.03.04_71
6809,Информационное обеспечение разработок,МТ11,11.03.04_71
6810,Термодинамика наносистем,Э6,11.03.04_71
6811,Прикладная электроника,МТ11,11.03.04_71
6812,Основы наноэлектроники и нанотехнологий,МТ11,11.03.04_71
6813,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,11.03.04_71
6814,ДВ №2 (основная) : Прецизионные механизмы микро и наноперемещений,МТ11,11.03.04_71
6815,ДВ №2: Вакуумные манипуляторы,МТ11,11.03.04_71
6816,ДВ №3 (основная) : Анализ и синтез технических решений,МТ11,11.03.04_71
6817,ДВ №3: Конструкторско-технологический практикум,МТ11,11.03.04_71
6818,Ознакомительная практика,МТ11,11.03.04_71
6819,Проектно-технологическая практика,МТ13,11.03.04_71
6820,Учебно-технологический практикум,МТ13,11.03.04_71
6821,Научно-исследовательская работа,МТ11,11.03.04_71
6822,Преддипломная практика,МТ11,11.03.04_71
6823,Подготовка и защита ВКР,МТ11,11.03.04_71
6824,Аналитическая геометрия,ФН1,28.03.02_02
6825,Инженерная и компьютерная графика,РК1,28.03.02_02
6826,Иностранный язык,Л3,28.03.02_02
6827,Информатика,ИУ7,28.03.02_02
6828,История России,СГН1,28.03.02_02
6829,Математический анализ,ФН1,28.03.02_02
6830,Начертательная геометрия,РК1,28.03.02_02
6831,Физическая культура и спорт,ФВ,28.03.02_02
6832,Химия,ФН5,28.03.02_02
6833,Интегралы и дифференциальные уравнения,ФН1,28.03.02_02
6834,Линейная алгебра и функции нескольких переменных,ФН1,28.03.02_02
6835,Теоретическая механика,ФН3,28.03.02_02
6836,Физика,ФН4,28.03.02_02
6837,Культурология,СГН2,28.03.02_02
6838,Русский язык и культура речи,Л1,28.03.02_02
6839,Политология,СГН3,28.03.02_02
6840,Сопротивление материалов,РК5,28.03.02_02
6841,Дополнительные главы математики,ФН1,28.03.02_02
6842,Основы автоматизированного проектирования,МТ11,28.03.02_02
6843,Материаловедение,МТ8,28.03.02_02
6844,Теория механизмов и машин,РК2,28.03.02_02
6845,Технология конструкционных материалов,МТ13,28.03.02_02
6846,Физико-химические основы нанотехнологий,МТ11,28.03.02_02
6847,Квантовая теория твердого тела,МТ11,28.03.02_02
6848,"Метрология, стандартизация и взаимозаменяемость",МТ4,28.03.02_02
6849,Вакуумные системы технологического оборудования,МТ11,28.03.02_02
6850,Детали машин,РК3,28.03.02_02
6851,Механика жидкости и газа,Э10,28.03.02_02
6852,Технология и оборудование микро и наноэлектроники,МТ11,28.03.02_02
6853,Физика вакуума,МТ11,28.03.02_02
6854,Правоведение,ЮР,28.03.02_02
6855,Термовакуумные процессы и оборудование,МТ11,28.03.02_02
6856,Философия,СГН4,28.03.02_02
6857,Экология,Э9,28.03.02_02
6858,Электротехника и электроника,ФН7,28.03.02_02
6859,Детали машин. Курсовой проект,РК3,28.03.02_02
6860,Техника эксперимента в электронике и наноэлектронике,МТ11,28.03.02_02
6861,Безопасность жизнедеятельности,Э9,28.03.02_02
6862,Проектирование технологического оборудования,МТ11,28.03.02_02
6863,Системы автоматического управления,МТ11,28.03.02_02
6864,Экономика часть 1,ИБМ3,28.03.02_02
6865,Технология электронного машиностроения,МТ3,28.03.02_02
6866,Технологические комплексы микро- и наноэлектроники,МТ11,28.03.02_02
6867,Экономика часть 2,ИБМ6,28.03.02_02
6868,Термодинамика наносистем,Э6,28.03.02_02
6869,Информационное обеспечение разработок,МТ11,28.03.02_02
6870,Прикладная электроника,МТ11,28.03.02_02
6871,Основы наноэлектроники и нанотехнологий,МТ11,28.03.02_02
6872,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,28.03.02_02
6941,Учебно-технологический практикум,МТ13,15.03.01_02
6873,ДВ №2 (основная) : Прецизионные механизмы микро и наноперемещений,МТ11,28.03.02_02
6874,ДВ №2: Вакуумные манипуляторы,МТ11,28.03.02_02
6875,ДВ №3 (основная) : Анализ и синтез технических решений,МТ11,28.03.02_02
6876,ДВ №3: Конструкторско-технологический практикум,МТ11,28.03.02_02
6877,Ознакомительная практика,МТ11,28.03.02_02
6878,Технологическая практика,МТ13,28.03.02_02
6879,Учебно-технологический практикум,МТ13,28.03.02_02
6880,Научно-исследовательская работа,МТ11,28.03.02_02
6881,Преддипломная практика,МТ11,28.03.02_02
6882,Подготовка и защита ВКР,МТ11,28.03.02_02
6883,Аналитическая геометрия,ФН1,15.03.01_02
6884,Инженерная и компьютерная графика,РК1,15.03.01_02
6885,Иностранный язык,Л3,15.03.01_02
6886,Информатика,ИУ7,15.03.01_02
6887,История России,СГН1,15.03.01_02
6888,Математический анализ,ФН1,15.03.01_02
6889,Начертательная геометрия,РК1,15.03.01_02
6890,Химия,ФН5,15.03.01_02
6891,Физическая культура и спорт,ФВ,15.03.01_02
6892,Интегралы и дифференциальные уравнения,ФН1,15.03.01_02
6893,Линейная алгебра и функции нескольких переменных,ФН1,15.03.01_02
6894,Теоретическая механика,ФН3,15.03.01_02
6895,Физика,ФН4,15.03.01_02
6896,Культурология,СГН2,15.03.01_02
6897,Русский язык и культура речи,Л1,15.03.01_02
6898,Материаловедение,МТ8,15.03.01_02
6899,Политология,СГН3,15.03.01_02
6900,Сопротивление материалов,РК5,15.03.01_02
6901,Дополнительные главы анализа,ФН1,15.03.01_02
6902,Теория механизмов и машин,РК2,15.03.01_02
6903,Технология конструкционных материалов,МТ13,15.03.01_02
6904,"Метрология, стандартизация и взаимозаменяемость",МТ4,15.03.01_02
6905,Основы автоматизированного проектирования,МТ13,15.03.01_02
6906,Правоведение,ЮР,15.03.01_02
6907,Триботехника в реновации,МТ13,15.03.01_02
6908,Детали машин,РК3,15.03.01_02
6909,Философия,СГН4,15.03.01_02
6910,Гидравлика,Э10,15.03.01_02
6911,Детали машин. Курсовой проект,РК3,15.03.01_02
6912,Термодинамика и теплопередача,Э6,15.03.01_02
6913,Технология машиностроения,МТ3,15.03.01_02
6914,Экология,Э9,15.03.01_02
6915,Электротехника и электроника,ФН7,15.03.01_02
6916,Безопасность жизнедеятельности,Э9,15.03.01_02
6917,Управление в технических системах,ИУ1,15.03.01_02
6918,Экономика часть 1,ИБМ3,15.03.01_02
6919,Основы научных исследований,МТ13,15.03.01_02
6920,Экономика часть 2,ИБМ6,15.03.01_02
6921,Введение в специальность,МТ13,15.03.01_02
6922,Контроль и диагностика остаточного ресурса,МТ13,15.03.01_02
6923,Теоретические основы и технологии реновации литейными методами,МТ13,15.03.01_02
6924,Теоретические основы и технологии реновации методами механической обработки (обработка давлением),МТ13,15.03.01_02
6925,Теоретические основы и технологии реновации методами механической обработки (обработка резанием),МТ13,15.03.01_02
6926,Теоретические основы и технологии реновации сварочно-наплавочными методами,МТ13,15.03.01_02
6927,Моделирование технологических процессов восcтановления деталей в машиностроении,МТ13,15.03.01_02
6928,Технологическое оборудование,МТ13,15.03.01_02
6929,Технологические процессы реновации полимерными материалами,МТ13,15.03.01_02
6930,Перспективные технологии реновации,МТ13,15.03.01_02
6931,Проектирование участков и цехов реновационного производства,МТ13,15.03.01_02
6932,Упрочняющие технологии и покрытия,МТ13,15.03.01_02
6933,Энергосберегающие технологии востановления деталей машин,МТ13,15.03.01_02
6934,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,15.03.01_02
6935,ДВ №2 (основная) : Методы оценки и управления качеством продукции реновации,МТ4,15.03.01_02
6936,ДВ №2: Специальные технологии реновации деталей,МТ13,15.03.01_02
6937,ДВ №3 (основная) : Технология машиностроения часть 2,МТ3,15.03.01_02
6938,ДВ №3: Утилизация отходов производства,МТ13,15.03.01_02
6939,Технологическая практика,МТ13,15.03.01_02
6940,Эксплуатационная практика,МТ13,15.03.01_02
6942,Научно-исследовательская работа,МТ13,15.03.01_02
6943,Преддипломная практика,МТ13,15.03.01_02
6944,Подготовка и защита ВКР,МТ13,15.03.01_02
6945,Аналитическая геометрия,ФН1,15.03.01_72
6946,Инженерная и компьютерная графика,РК1,15.03.01_72
6947,Информатика,ИУ7,15.03.01_72
6948,История России,СГН1,15.03.01_72
6949,Математический анализ,ФН1,15.03.01_72
6950,Начертательная геометрия,РК1,15.03.01_72
6951,Химия,ФН5,15.03.01_72
6952,Русский язык как иностранный,Л1,15.03.01_72
6953,Физическая культура и спорт,ФВ,15.03.01_72
6954,Интегралы и дифференциальные уравнения,ФН1,15.03.01_72
6955,Линейная алгебра и функции нескольких переменных,ФН1,15.03.01_72
6956,Теоретическая механика,ФН3,15.03.01_72
6957,Физика,ФН4,15.03.01_72
6958,Культурология,СГН2,15.03.01_72
6959,Русский язык и культура речи,Л1,15.03.01_72
6960,Материаловедение,МТ8,15.03.01_72
6961,Сопротивление материалов,РК5,15.03.01_72
6962,Дополнительные главы анализа,ФН1,15.03.01_72
6963,Теория механизмов и машин,РК2,15.03.01_72
6964,Технология конструкционных материалов,МТ13,15.03.01_72
6965,"Метрология, стандартизация и взаимозаменяемость",МТ4,15.03.01_72
6966,Основы автоматизированного проектирования,МТ13,15.03.01_72
6967,Триботехника в реновации,МТ13,15.03.01_72
6968,Детали машин,РК3,15.03.01_72
6969,Философия,СГН4,15.03.01_72
6970,Гидравлика,Э10,15.03.01_72
6971,Детали машин. Курсовой проект,РК3,15.03.01_72
6972,Термодинамика и теплопередача,Э6,15.03.01_72
6973,Технология машиностроения,МТ3,15.03.01_72
6974,Экология,Э9,15.03.01_72
6975,Электротехника и электроника,ФН7,15.03.01_72
6976,Безопасность жизнедеятельности,Э9,15.03.01_72
6977,Управление в технических системах,ИУ1,15.03.01_72
6978,Экономика часть 1,ИБМ3,15.03.01_72
6979,Иностранный язык,Л3,15.03.01_72
6980,Правоведение,ЮР,15.03.01_72
6981,Основы научных исследований,МТ13,15.03.01_72
6982,Экономика часть 2,ИБМ6,15.03.01_72
6983,Введение в специальность,МТ13,15.03.01_72
6984,Контроль и диагностика остаточного ресурса,МТ13,15.03.01_72
6985,Теоретические основы и технологии реновации литейными методами,МТ13,15.03.01_72
6986,Теоретические основы и технологии реновации методами механической обработки (обработка давлением),МТ13,15.03.01_72
6987,Теоретические основы и технологии реновации методами механической обработки (обработка резанием),МТ13,15.03.01_72
6988,Теоретические основы и технологии реновации сварочно-наплавочными методами,МТ13,15.03.01_72
6989,Моделирование технологических процессов восcтановления деталей в машиностроении,МТ13,15.03.01_72
6990,Технологическое оборудование,МТ13,15.03.01_72
6991,Технологические процессы реновации полимерными материалами,МТ13,15.03.01_72
6992,Перспективные технологии реновации,МТ13,15.03.01_72
6993,Проектирование участков и цехов реновационного производства,МТ13,15.03.01_72
6994,Упрочняющие технологии и покрытия,МТ13,15.03.01_72
6995,Энергосберегающие технологии востановления деталей машин,МТ13,15.03.01_72
6996,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,15.03.01_72
6997,ДВ №2 (основная) : Методы оценки и управления качеством продукции реновации,МТ4,15.03.01_72
6998,ДВ №2: Специальные технологии реновации деталей,МТ13,15.03.01_72
6999,ДВ №3 (основная) : Технология машиностроения часть 2,МТ3,15.03.01_72
7000,ДВ №3: Утилизация отходов производства,МТ13,15.03.01_72
7001,Технологическая практика,МТ13,15.03.01_72
7002,Эксплуатационная практика,МТ13,15.03.01_72
7003,Учебно-технологический практикум,МТ13,15.03.01_72
7004,Научно-исследовательская работа,МТ13,15.03.01_72
7005,Преддипломная практика,МТ13,15.03.01_72
7006,Подготовка и защита ВКР,МТ13,15.03.01_72
7007,Инженерная и компьютерная графика,РК1,27.03.01_01
7008,Иностранный язык,Л3,27.03.01_01
7009,Информатика,ИУ7,27.03.01_01
7010,История России,СГН1,27.03.01_01
7011,Математический анализ,ФН1,27.03.01_01
7013,Физическая культура и спорт,ФВ,27.03.01_01
7014,Химия,ФН5,27.03.01_01
7015,Аналитическая геометрия,ФН1,27.03.01_01
7016,Интегралы и дифференциальные уравнения,ФН1,27.03.01_01
7017,Линейная алгебра и функции нескольких переменных,ФН1,27.03.01_01
7018,Теоретическая механика,ФН3,27.03.01_01
7019,Физика,ФН4,27.03.01_01
7020,Культурология,СГН2,27.03.01_01
7021,Русский язык и культура речи,Л1,27.03.01_01
7022,Материаловедение,МТ8,27.03.01_01
7023,Сопротивление материалов,РК5,27.03.01_01
7024,Дополнительные главы анализа,ФН1,27.03.01_01
7025,Политология,СГН3,27.03.01_01
7026,Теория механизмов и машин,РК2,27.03.01_01
7027,Технология конструкционных материалов,МТ13,27.03.01_01
7028,Физические основы измерений и эталоны,МТ4,27.03.01_01
7029,Методы и средства измерений и контроля,МТ4,27.03.01_01
7030,Основы автоматизированного проектирования,МТ4,27.03.01_01
7031,Правоведение,ЮР,27.03.01_01
7032,Теория вероятностей и математическая статистика,МТ4,27.03.01_01
7033,Механика жидкости и газа,Э10,27.03.01_01
7034,Философия,СГН4,27.03.01_01
7035,Детали машин,РК3,27.03.01_01
7036,Электротехника и электроника,ФН7,27.03.01_01
7037,Технология машиностроения,МТ3,27.03.01_01
7038,Экология,Э9,27.03.01_01
7039,Управление в технических системах,ИУ1,27.03.01_01
7040,Безопасность жизнедеятельности,Э9,27.03.01_01
7041,Экономика часть 1,ИБМ3,27.03.01_01
7042,Технология контроля,МТ4,27.03.01_01
7043,Экономика часть 2,ИБМ6,27.03.01_01
7044,Основы статистического контроля,МТ4,27.03.01_01
7045,Технико-экономический анализ проектных решений,ИБМ2,27.03.01_01
7046,Метрология,МТ4,27.03.01_01
7047,Взаимозаменяемость и нормирование точности,МТ4,27.03.01_01
7048,Введение в теорию самоорганизации,МТ4,27.03.01_01
7049,Прикладная метрология,МТ4,27.03.01_01
7050,Метрологическое обеспечение жизненного цикла изделий,МТ4,27.03.01_01
7051,Основы технического регулирования,МТ4,27.03.01_01
7052,Организация и технология испытаний,МТ4,27.03.01_01
7053,Управление качеством,МТ4,27.03.01_01
7054,Электрические измерения неэлектрических величин,МТ4,27.03.01_01
7055,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,27.03.01_01
7056,ДВ №2 (основная) : Организационные и экономические основы метрологического обеспечения,МТ4,27.03.01_01
7057,ДВ №2: Основы законодательной метрологии,МТ4,27.03.01_01
7058,ДВ №3 (основная) : Основы теории решения измерительных задач,МТ4,27.03.01_01
7059,ДВ №3: Методы оценки и управления качеством продукции,МТ4,27.03.01_01
7060,Ознакомительная практика,МТ4,27.03.01_01
7061,Технологическая практика,МТ13,27.03.01_01
7062,Учебно-технологический практикум,МТ13,27.03.01_01
7063,Научно-исследовательская работа,МТ4,27.03.01_01
7064,Научно-исследовательская работа,МТ4,27.03.01_01
7065,Преддипломная практика,МТ4,27.03.01_01
7066,Подготовка и защита ВКР,МТ4,27.03.01_01
7067,Аналитическая геометрия,ФН1,27.03.01_51
7068,Иностранный язык,Л2,27.03.01_51
7069,Информатика,ИУ6,27.03.01_51
7070,История России,СГН1,27.03.01_51
7071,Математический анализ,ФН1,27.03.01_51
7072,Физическая культура и спорт,ФВ,27.03.01_51
7073,Интегралы и дифференциальные уравнения,ФН1,27.03.01_51
7074,Начертательная геометрия,РК1,27.03.01_51
7075,Основы программирования,ИУ6,27.03.01_51
7076,Физика,ФН4,27.03.01_51
7077,Инженерная и компьютерная графика,РК1,27.03.01_51
7078,Химия,ФН5,27.03.01_51
7079,Культурология,СГН2,27.03.01_51
7080,Линейная алгебра,ФН1,27.03.01_51
7081,Русский язык и культура речи,Л1,27.03.01_51
7082,Теоретическая механика,ФН3,27.03.01_51
7083,Дополнительные главы анализа,ФН1,27.03.01_51
7084,Иностранный язык,Л2,27.03.01_51
7085,Материаловедение,МТ8,27.03.01_51
7086,Политология,СГН3,27.03.01_51
7087,Сопротивление материалов,РК5,27.03.01_51
7088,Теория вероятностей и математическая статистика,МТ4,27.03.01_51
7089,Методы и средства измерений и контроля,МТ4,27.03.01_51
7090,Основы автоматизированного проектирования,МТ4,27.03.01_51
7091,Правоведение,ЮР,27.03.01_51
7092,Теория механизмов и машин,РК2,27.03.01_51
7093,Технология конструкционных материалов,МТ13,27.03.01_51
7094,Физические основы измерений и эталоны,МТ4,27.03.01_51
7095,Детали машин,РК3,27.03.01_51
7096,Механика жидкости и газа,Э10,27.03.01_51
7097,Философия,СГН4,27.03.01_51
7098,Технология машиностроения,МТ3,27.03.01_51
7099,Управление в технических системах,ИУ1,27.03.01_51
7100,Экология,Э9,27.03.01_51
7101,Электротехника и электроника,ФН7,27.03.01_51
7102,Безопасность жизнедеятельности,Э9,27.03.01_51
7103,Технология контроля,МТ4,27.03.01_51
7104,Экономика часть 1,ИБМ3,27.03.01_51
7105,Основы статистического контроля,МТ4,27.03.01_51
7106,Технико-экономический анализ проектных решений,ИБМ2,27.03.01_51
7107,Экономика часть 2,ИБМ6,27.03.01_51
7108,Введение в теорию самоорганизации,МТ4,27.03.01_51
7109,Взаимозаменяемость и нормирование точности,МТ4,27.03.01_51
7110,Метрология,МТ4,27.03.01_51
7111,Метрологическое обеспечение жизненного цикла изделий,МТ4,27.03.01_51
7112,Основы технического регулирования,МТ4,27.03.01_51
7113,Прикладная метрология,МТ4,27.03.01_51
7114,Организация и технология испытаний,МТ4,27.03.01_51
7115,Управление качеством,МТ4,27.03.01_51
7116,Электрические измерения неэлектрических величин,МТ4,27.03.01_51
7117,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,27.03.01_51
7118,ДВ №2 (основная) : Организационные и экономические основы метрологического обеспечения,МТ4,27.03.01_51
7119,ДВ №2: Основы законодательной метрологии,МТ4,27.03.01_51
7120,ДВ №3 (основная) : Основы теории решения измерительных задач,МТ4,27.03.01_51
7121,ДВ №3: Методы оценки и управления качеством продукции,МТ4,27.03.01_51
7122,Ознакомительная практика,МТ4,27.03.01_51
7123,Технологическая практика,МТ13,27.03.01_51
7124,Учебно-технологический практикум,МТ13,27.03.01_51
7125,Научно-исследовательская работа,МТ4,27.03.01_51
7126,Научно-исследовательская работа,МТ4,27.03.01_51
7127,Преддипломная практика,МТ4,27.03.01_51
7128,Подготовка и защита ВКР,МТ4,27.03.01_51
7129,Аналитическая геометрия,ФН1,27.03.01_61
7130,Инженерная графика,РК1,27.03.01_61
7131,Математический анализ,ФН1,27.03.01_61
7132,Начертательная геометрия,РК1,27.03.01_61
7133,Иностранный язык,Л2,27.03.01_61
7134,История России,СГН1,27.03.01_61
7135,Физическая культура и спорт,ФВ,27.03.01_61
7136,Информатика,ИУ7,27.03.01_61
7137,Линейная алгебра,ФН1,27.03.01_61
7138,Культурология,СГН2,27.03.01_61
7139,Интегралы и дифференциальные уравнения,ФН1,27.03.01_61
7140,Информатика,ИУ7,27.03.01_61
7141,Физика,ФН4,27.03.01_61
7142,Химия,ФН5,27.03.01_61
7143,Русский язык и культура речи,Л1,27.03.01_61
7144,Теоретическая механика,ФН3,27.03.01_61
7145,Дополнительные главы анализа,ФН1,27.03.01_61
7146,Иностранный язык,Л2,27.03.01_61
7147,Материаловедение,МТ8,27.03.01_61
7148,Политология,СГН3,27.03.01_61
7149,Сопротивление материалов,РК5,27.03.01_61
7150,Правоведение,ЮР,27.03.01_61
7151,Теория вероятностей и математическая статистика,МТ4,27.03.01_61
7152,Методы и средства измерений и контроля,МТ4,27.03.01_61
7153,Основы автоматизированного проектирования,МТ4,27.03.01_61
7154,Теория механизмов и машин,РК2,27.03.01_61
7155,Технология конструкционных материалов,МТ13,27.03.01_61
7156,Физические основы измерений и эталоны,МТ4,27.03.01_61
7157,Детали машин,РК3,27.03.01_61
7158,Механика жидкости и газа,Э10,27.03.01_61
7159,Философия,СГН4,27.03.01_61
7160,Технология машиностроения,МТ3,27.03.01_61
7161,Управление в технических системах,ИУ1,27.03.01_61
7162,Экология,Э9,27.03.01_61
7163,Электротехника и электроника,ФН7,27.03.01_61
7164,Безопасность жизнедеятельности,Э9,27.03.01_61
7165,Технология контроля,МТ4,27.03.01_61
7167,Основы статистического контроля,МТ4,27.03.01_61
7168,Технико-экономический анализ проектных решений,ИБМ2,27.03.01_61
7169,Экономика часть 2,ИБМ6,27.03.01_61
7170,Введение в теорию самоорганизации,МТ4,27.03.01_61
7171,Взаимозаменяемость и нормирование точности,МТ4,27.03.01_61
7172,Метрология,МТ4,27.03.01_61
7173,Метрологическое обеспечение жизненного цикла изделий,МТ4,27.03.01_61
7174,Основы технического регулирования,МТ4,27.03.01_61
7175,Прикладная метрология,МТ4,27.03.01_61
7176,Организация и технология испытаний,МТ4,27.03.01_61
7177,Управление качеством,МТ4,27.03.01_61
7178,Электрические измерения неэлектрических величин,МТ4,27.03.01_61
7179,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,27.03.01_61
7180,ДВ №2 (основная) : Основы теории решения измерительных задач,МТ4,27.03.01_61
7181,ДВ №2: Методы оценки и управления качеством продукции,МТ4,27.03.01_61
7182,ДВ №3 (основная) : Организационные и экономические основы метрологического обеспечения,МТ4,27.03.01_61
