id,discipline,department,speciality_id
201,Прикладная механика,РК5,12.03.04_71
202,Теория поля и ряды,ФН1,12.03.04_71
203,Основы патологии,БМТ1,12.03.04_71
204,Биофизика,БМТ2,12.03.04_71
205,Интегральные преобразования и уравнения математической физики,ФН1,12.03.04_71
206,Конструирование узлов и элементов биотехнических систем,РЛ5,12.03.04_71
207,Основы технологии приборостроения,РЛ6,12.03.04_71
208,Русский язык и культура речи,Л1,12.03.04_71
209,Теория вероятностей и математическая статистика,БМТ1,12.03.04_71
210,Культурология,СГН2,12.03.04_71
211,Биомеханика,БМТ2,12.03.04_71
212,"Метрология, стандартизация и технические измерения",БМТ1,12.03.04_71
213,Философия,СГН4,12.03.04_71
214,Электроника и микропроцессорная техника,РЛ1,12.03.04_71
215,Биофизика КР,БМТ1,12.03.04_71
433,Биотелеметрия,БМТ1,12.03.04_62
216,Основы взаимодействия физических полей с биообъектами,БМТ1,12.03.04_71
217,Экология,Э9,12.03.04_71
218,Биофизические основы живых систем,БМТ2,12.03.04_71
219,Конструкционные и биоматериалы,БМТ1,12.03.04_71
220,Основы моделирования биотехнических систем,БМТ2,12.03.04_71
221,Безопасность жизнедеятельности,Э9,12.03.04_71
222,Биотехнические системы медицинского назначения,БМТ1,12.03.04_71
223,Иностранный язык,Л2,12.03.04_71
224,Методы обработки биомедицинских сигналов,БМТ2,12.03.04_71
225,Основы технической и биомедицинской оптики,БМТ1,12.03.04_71
226,Правоведение,ЮР,12.03.04_71
227,Экономика часть 1,ИБМ3,12.03.04_71
228,Биотелеметрия,БМТ1,12.03.04_71
229,Методы анализа нестационарных биомедицинских сигналов,БМТ1,12.03.04_71
230,Основы медицинской акустики,БМТ2,12.03.04_71
231,Системный анализ и принятие решений,БМТ1,12.03.04_71
232,Технические методы диагностических исследований и лечебных воздействий,БМТ1,12.03.04_71
233,Клиническая терапия и хирургия,БМТ1,12.03.04_71
234,Электроника и микропроцессорная техника. Курсовая работа,БМТ1,12.03.04_71
235,Электроника и микропроцессорная техника,БМТ1,12.03.04_71
236,"Медицинские приборы, аппараты, системы и комплексы",БМТ1,12.03.04_71
237,Электроника и микропроцессорная техника,БМТ2,12.03.04_71
238,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,12.03.04_71
239,ДВ №2 (основная) : Измерительные преобразователи и электроды,БМТ1,12.03.04_71
240,ДВ №2: Физические методы исследования физиологических параметров,БМТ1,12.03.04_71
241,ДВ №3 (основная) : Искусственные органы и системы,БМТ1,12.03.04_71
242,ДВ №3: Основы лазерной медицинской техники,БМТ1,12.03.04_71
243,Ознакомительная практика,БМТ1,12.03.04_71
244,Эксплуатационная практика,БМТ1,12.03.04_71
245,Учебно-технологический практикум,РЛ6,12.03.04_71
246,Научно-исследовательская работа,БМТ1,12.03.04_71
247,Медико-техническая практика,БМТ1,12.03.04_71
248,Научно-исследовательская работа,БМТ1,12.03.04_71
249,Научно-исследовательская работа,БМТ1,12.03.04_71
250,Преддипломная практика,БМТ1,12.03.04_71
251,Подготовка и защита ВКР,БМТ1,12.03.04_71
252,Аналитическая геометрия,ФН1,12.03.04_02
253,Инженерная и компьютерная графика,РК1,12.03.04_02
254,Иностранный язык,Л2,12.03.04_02
255,Информатика,ИУ7,12.03.04_02
256,История России,СГН1,12.03.04_02
257,Математический анализ,ФН1,12.03.04_02
258,Начертательная геометрия,РК1,12.03.04_02
259,Общая биология,БМТ4,12.03.04_02
260,Физическая культура и спорт,ФВ,12.03.04_02
261,Интегралы и дифференциальные уравнения,ФН1,12.03.04_02
262,Линейная алгебра и функции нескольких переменных,ФН1,12.03.04_02
263,Физика,ФН4,12.03.04_02
264,Химия,ФН5,12.03.04_02
265,Биохимия,БМТ2,12.03.04_02
266,Электротехника,ФН7,12.03.04_02
267,Прикладная механика,РК5,12.03.04_02
268,Теория поля и ряды,ФН1,12.03.04_02
269,Паталогические анатомия и физиология,БМТ4,12.03.04_02
270,Биофизика,БМТ2,12.03.04_02
271,Интегральные преобразования и уравнения математической физики,ФН1,12.03.04_02
272,Конструирование узлов и элементов биотехнических систем,РЛ5,12.03.04_02
273,Основы технологии приборостроения,РЛ6,12.03.04_02
274,Русский язык и культура речи,Л1,12.03.04_02
275,Культурология,СГН2,12.03.04_02
276,Теория случайных процессов,РЛ2,12.03.04_02
277,Биомеханика,БМТ2,12.03.04_02
278,"Метрология, стандартизация и технические измерения",БМТ1,12.03.04_02
279,Политология,СГН3,12.03.04_02
280,Философия,СГН4,12.03.04_02
281,Электроника и микропроцессорная техника,РЛ1,12.03.04_02
282,Биофизика КР,БМТ2,12.03.04_02
283,Биофизические основы живых систем 1,БМТ1,12.03.04_02
284,Клиническая терапия и хирургия,БМТ4,12.03.04_02
285,Конструкционные и биоматериалы,БМТ2,12.03.04_02
286,Экология,Э9,12.03.04_02
287,Биофизические основы живых систем,БМТ2,12.03.04_02
288,Основы медицинской акустики,БМТ2,12.03.04_02
289,Правоведение,ЮР,12.03.04_02
290,Безопасность жизнедеятельности,Э9,12.03.04_02
291,Управление в биотехнических системах,БМТ2,12.03.04_02
292,Экономика часть 1,ИБМ3,12.03.04_02
293,Биотехнические системы медицинского назначения,БМТ2,12.03.04_02
294,Методы обработки биомедицинских сигналов,БМТ2,12.03.04_02
295,Биотелеметрия,БМТ1,12.03.04_02
296,Системный анализ и принятие решений,БМТ2,12.03.04_02
297,Экономика часть 2,ИБМ6,12.03.04_02
298,Электроника и микропроцессорная техника. Курсовая работа,БМТ2,12.03.04_02
299,Электроника и микропроцессорная техника,БМТ1,12.03.04_02
300,"Медицинские приборы, аппараты, системы и комплексы",БМТ1,12.03.04_02
301,Биомедицинская оптика,БМТ1,12.03.04_02
302,Электроника и микропроцессорная техника,БМТ2,12.03.04_02
303,Методы анализа нестационарных биомедицинских сигналов,БМТ1,12.03.04_02
304,ДВ №1 (основная) : Элективный курс по физической культуре и спорту,ФВ,12.03.04_02
305,ДВ №2 (основная) : Измерительные преобразователи и электроды,БМТ1,12.03.04_02
306,"ДВ №2: Физические методы и средства измерения, контроля и диагностики физиологических параметров",БМТ1,12.03.04_02
307,ДВ №3 (основная) : Организация научных исследований,БМТ2,12.03.04_02
308,ДВ №3: Искусственные органы и системы,БМТ1,12.03.04_02
309,ДВ №4 (основная) : Основы компьютерной томографии,БМТ2,12.03.04_02
310,ДВ №4: Лазерная медицинская техника,БМТ1,12.03.04_02
311,Ознакомительная практика,БМТ2,12.03.04_02
312,Эксплуатационная практика,БМТ2,12.03.04_02
313,Учебно-технологический практикум,РЛ6,12.03.04_02
314,Научно-исследовательская работа,БМТ2,12.03.04_02
315,Медико-техническая практика,БМТ1,12.03.04_02
316,Научно-исследовательская работа,БМТ2,12.03.04_02
317,Научно-исследовательская работа,БМТ2,12.03.04_02
318,Преддипломная практика,БМТ2,12.03.04_02
319,Подготовка и защита ВКР,БМТ2,12.03.04_02
320,Аналитическая геометрия,ФН1,12.03.04_72
321,Инженерная и компьютерная графика,РК1,12.03.04_72
322,Информатика,ИУ7,12.03.04_72
323,История России,СГН1,12.03.04_72
324,Математический анализ,ФН1,12.03.04_72
325,Начертательная геометрия,РК1,12.03.04_72
326,Общая биология,БМТ4,12.03.04_72
327,Русский язык как иностранный,Л1,12.03.04_72
328,Физическая культура и спорт,ФВ,12.03.04_72
329,Интегралы и дифференциальные уравнения,ФН1,12.03.04_72
330,Линейная алгебра и функции нескольких переменных,ФН1,12.03.04_72
331,Физика,ФН4,12.03.04_72
332,Химия,ФН5,12.03.04_72
333,Биохимия,БМТ2,12.03.04_72
334,Электротехника,ФН7,12.03.04_72
335,Прикладная механика,РК5,12.03.04_72
336,Теория поля и ряды,ФН1,12.03.04_72
337,Паталогические анатомия и физиология,БМТ4,12.03.04_72
338,Биофизика,БМТ2,12.03.04_72
339,Интегральные преобразования и уравнения математической физики,ФН1,12.03.04_72
340,Конструирование узлов и элементов биотехнических систем,РЛ5,12.03.04_72
341,Основы технологии приборостроения,РЛ6,12.03.04_72
342,Русский язык и культура речи,Л1,12.03.04_72
343,Культурология,СГН2,12.03.04_72
344,Теория случайных процессов,РЛ2,12.03.04_72
345,Биомеханика,БМТ2,12.03.04_72
346,"Метрология, стандартизация и технические измерения",БМТ1,12.03.04_72
347,Философия,СГН4,12.03.04_72
348,Электроника и микропроцессорная техника,РЛ1,12.03.04_72
349,Биофизика КР,БМТ2,12.03.04_72
350,Биофизические основы живых систем 1,БМТ1,12.03.04_72
351,Клиническая терапия и хирургия,БМТ4,12.03.04_72
352,Конструкционные и биоматериалы,БМТ2,12.03.04_72
353,Экология,Э9,12.03.04_72
354,Биофизические основы живых систем,БМТ2,12.03.04_72
355,Основы медицинской акустики,БМТ2,12.03.04_72
356,Безопасность жизнедеятельности,Э9,12.03.04_72
357,Управление в биотехнических системах,БМТ2,12.03.04_72
358,Экономика часть 1,ИБМ3,12.03.04_72
434,Системный анализ и принятие решений,БМТ2,12.03.04_62
359,Биотехнические системы медицинского назначения,БМТ2,12.03.04_72
360,Иностранный язык,Л2,12.03.04_72
361,Методы обработки биомедицинских сигналов,БМТ2,12.03.04_72
362,Правоведение,ЮР,12.03.04_72
363,Биотелеметрия,БМТ1,12.03.04_72
